parameter_name,Upper teeth appearance
mouse_life_stage,Early adult
analysis_id,57o684l3d381u1f
parameter_id,IMPC_CSD_069_001
gene_symbol,Rhbg
pvalue,0.09279338
gene_accession_id,MGI:1927379
mouse_strain,C57BL
