parameter_name,Retina (combined)
gene_accession_id,MGI:99915
pvalue,0.2610084
analysis_id,12pb64gy748v79u
gene_symbol,Lamb3
parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
mouse_strain,C57BL
