analysis_id,181m895y58nc9d5
pvalue,0.1987143
mouse_strain,C57BL
gene_accession_id,MGI:2674093
parameter_id,ESLIM_011_001_704
parameter_name,Prepulse inhibition - PP4
gene_symbol,Psd4
mouse_life_stage,Early adult
