parameter_name,Embryo turning
analysis_id,7n8025q542e08mg
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
gene_symbol,Ncaph
mouse_strain,C57BL
parameter_id,IMPC_GEL_011_001
pvalue,0.7942705
