analysis_id,sg74bdseer572se
gene_accession_id,MGI:1916220
mouse_strain,C57BL
gene_symbol,Dcaf12
pvalue,0.9320101
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_012_001
parameter_name,30kHz-evoked ABR Threshold
