analysis_id,0740jr0302187y7
gene_symbol,Psd4
mouse_life_stage,Early adult
parameter_id,MGP_CSD_064_001
parameter_name,Head morphology
mouse_strain,C57BL
pvalue,0.1525009
gene_accession_id,MGI:2674093
