parameter_name,Vibrissae - presence
mouse_life_stage,Early adult
analysis_id,rhe5u96u7584593
gene_accession_id,MGI:1915087
parameter_id,JAXLA_CSD_023_001
gene_symbol,Tiprl
pvalue,0.6024074
mouse_strain,C57BL
