gene_symbol,Psd4
mouse_life_stage,Early adult
pvalue,0.1775446
analysis_id,j504k8q38b99q25
parameter_id,JAX_OFD_021_001
parameter_name,Number of rears - total
mouse_strain,C57BL
gene_accession_id,MGI:2674093
