parameter_name,Aspartate aminotransferase
gene_symbol,Nemp2
mouse_life_stage,Early adult
analysis_id,2ngk41c1p1d1v11
pvalue,0.9137549
gene_accession_id,MGI:2444113
mouse_strain,C57BL
parameter_id,IMPC_CBC_012_001
