analysis_id,dgod3es4a0tikh7
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
parameter_name,Total protein
mouse_strain,C57BL
parameter_id,IMPC_CBC_006_001
gene_symbol,Cldn19
pvalue,0.546322
