analysis_id,2bcvjz39v815arl
mouse_life_stage,Early adult
gene_symbol,Slc2a8
parameter_id,IMPC_CBC_014_001
gene_accession_id,MGI:1860103
mouse_strain,C57BL
parameter_name,Alkaline phosphatase
pvalue,0.8643365
