gene_symbol,Pex19
pvalue,0.1837821
parameter_id,IMPC_FEA_107_001
analysis_id,8ye8pq9a27z6723
gene_accession_id,MGI:1334458
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
mouse_strain,C57BL
mouse_life_stage,Early adult
