analysis_id,p04r2ky8hh9ix3y
gene_symbol,Nemp2
pvalue,0.05928563
gene_accession_id,MGI:2444113
parameter_name,Heart looping
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_057_001
