parameter_name,Center average speed
mouse_life_stage,Early adult
analysis_id,u52h0ss36x4mbuw
pvalue,0.3753497
mouse_strain,C57BL
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
parameter_id,IMPC_OFD_017_001
