analysis_id,h9pu6if12lg7kvi
gene_symbol,Atrn
parameter_id,IMPC_XRY_001_001
parameter_name,Skull shape
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
pvalue,0.9245179
mouse_strain,C57BL
