parameter_name,Average duration
gene_accession_id,MGI:108072
pvalue,0.9906539
mouse_life_stage,Early adult
parameter_id,JAX_ROT_002_001
mouse_strain,C57BL
gene_symbol,Traf6
analysis_id,ibe6xth69n734q2
