analysis_id,5h3yu69o7j32snm
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_strain,C57BL
pvalue,0.2128893
parameter_id,IMPC_CSD_078_001
parameter_name,Vocalization
