analysis_id,0ms783j923hbovu
mouse_strain,C57BL
gene_symbol,Golm2
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_007_001
parameter_name,BMC/Body weight
gene_accession_id,MGI:2443129
pvalue,0.9340113
