analysis_id,77lj8pwj4818z9v
gene_accession_id,MGI:2385884
mouse_strain,129SV
pvalue,0.05019183
mouse_life_stage,Early adult
gene_symbol,Ddx27
parameter_id,MGP_MLN_093_001
parameter_name,KLRG1+ NK cells - % of CD45+
