analysis_id,488wv9sb420578i
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,lens
parameter_id,M-G-P_014_001_009
gene_accession_id,MGI:2446186
pvalue,0.2554718
gene_symbol,Lpgat1
