parameter_name,Left total retinal thickness
pvalue,0.7120699
analysis_id,sekp2668v0yse86
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_068_001
gene_symbol,Etfdh
gene_accession_id,MGI:106100
