analysis_id,044g04gysu9z1hh
parameter_name,Retinal Blood Vessels
mouse_strain,129SV
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
pvalue,0.7784985
gene_symbol,Inpp1
parameter_id,IMPC_EYE_024_001
