analysis_id,1hv9e8a1418umh3
parameter_id,MGP_PBI_015_001
mouse_strain,C57BL
gene_symbol,Zmynd19
parameter_name,IgD+ mature B cell percentage
pvalue,0.193535
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
