gene_symbol,Cd52
parameter_name,lens
gene_accession_id,MGI:1346088
parameter_id,M-G-P_014_001_009
analysis_id,8037862ao844s80
pvalue,0.5625162
mouse_life_stage,Early adult
mouse_strain,C57BL
