gene_symbol,Serinc3
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_008_001
mouse_strain,C57BL
gene_accession_id,MGI:1349457
pvalue,0.8862184
parameter_name,Corneal opacity
analysis_id,7o7deoe6x6ew198
