parameter_id,JAX_ROT_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Average duration
gene_accession_id,MGI:1918345
pvalue,0.7299701
analysis_id,oia57boft16l0ig
gene_symbol,Kif24
