analysis_id,f8vb8b1m491nfwn
gene_accession_id,MGI:1913838
parameter_name,Eye
mouse_life_stage,Early adult
gene_symbol,Cmpk1
pvalue,0.4005741
mouse_strain,C57BL
parameter_id,IMPC_EYE_001_001
