analysis_id,0803z01ua8515xk
mouse_strain,C57BL
parameter_id,MGP_PBI_027_001
gene_accession_id,MGI:1914672
gene_symbol,Dhdds
mouse_life_stage,Early adult
pvalue,0.8019384
parameter_name,NK cell number
