Analysis_id,975mg30o92736c3
Parameter_id,IMPC_HEM_030_001
mouse_life_stage,E12.5
Pvalue,0.9283658
parameter_name,Neutrophil cell count
mouse_strain,C57BL
Gene_accession_id,MGI:95835
Gene_symbol,Hspa5
