parameter_name,Limb grasping
gene_symbol,Bach2
pvalue,0.08287256
parameter_id,ESLIM_008_001_017
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:894679
analysis_id,u0uv545l1hlo5jj
