parameter_name,Eosinophils
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
gene_symbol,Trpa1
pvalue,0.5652663
analysis_id,i5bl7cr4oc4mv0g
parameter_id,IMPC_IMM_052_001
