gene_symbol,Rab3gap2
parameter_id,MGP_IMM_027_001
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7642989
analysis_id,9i2j9348p7j0zj9
