gene_symbol,Trim46
gene_accession_id,MGI:2673000
parameter_id,IMPC_EYE_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9424908
analysis_id,vp06l86l6e4lgkr
parameter_name,Eye
