gene_symbol,Slx4ip
pvalue,0.2205092
analysis_id,y933c47548725p5
parameter_name,Effector Treg cells - % of Treg
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_010_001
