analysis_id,wjy6678353dhd94
parameter_id,MGP_IMM_089_001
mouse_life_stage,E12.5
pvalue,0.8676442
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_symbol,Mapkap1
mouse_strain,C57BL
gene_accession_id,MGI:2444554
