mouse_strain,B6J
mouse_life_stage,Early adult
parameter_name,18kHz-evoked ABR Threshold
gene_symbol,Nr0b2
analysis_id,sf143u7qs16ll15
pvalue,0.971759
gene_accession_id,MGI:1346344
parameter_id,IMPC_ABR_008_001
