parameter_name,Ventral coat/hair presence
analysis_id,8w5f87bxold5420
pvalue,0.4931479
gene_symbol,Traf6
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:108072
parameter_id,MGP_CSD_025_001
