parameter_id,IMPC_HWT_008_001
mouse_life_stage,Late adult
gene_accession_id,MGI:1934811
gene_symbol,Nucks1
pvalue,0.7445883
parameter_name,Heart weight
mouse_strain,C57BL
analysis_id,ph1740iw3u4532w
