gene_symbol,Ubxn11
mouse_strain,C57BL
pvalue,0.1716983
gene_accession_id,MGI:1914836
parameter_name,Prepulse inhibition - PP2
parameter_id,ESLIM_011_001_702
mouse_life_stage,Early adult
analysis_id,fv29y97x9xezkb1
