gene_symbol,Dmap1
analysis_id,s57nghgu45212g8
pvalue,0.1826248
mouse_strain,C57BL
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
gene_accession_id,MGI:1913483
parameter_id,MGP_PBI_030_001
mouse_life_stage,E12.5
