parameter_name,Heart looping
gene_symbol,Slc30a4
pvalue,0.4065253
analysis_id,372pg8kc1fi337o
parameter_id,IMPC_GEL_057_001
mouse_life_stage,Late adult
gene_accession_id,MGI:1345282
mouse_strain,C57BL
