parameter_name,End-Systolic Diameter
pvalue,0.422712
parameter_id,IMPC_ECH_001_001
gene_symbol,Sprr1b
analysis_id,9p6717cw607f9ph
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:106659
