analysis_id,w8w1t0zd63986a8
gene_symbol,Ufc1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3315137
parameter_name,IgD+ mature B cell percentage
parameter_id,MGP_PBI_015_001
gene_accession_id,MGI:1913405
