analysis_id,j3cvq994kf05t5y
parameter_name,MZB (CD21/35 high)
gene_symbol,Slc39a10
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
pvalue,0.7906252
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
