parameter_name,Whole arena resting time
analysis_id,6hyk83z48zdqum7
parameter_id,ESLIM_007_001_003
pvalue,0.2124119
gene_accession_id,MGI:104848
gene_symbol,Inpp1
mouse_life_stage,Early adult
mouse_strain,129SV
