analysis_id,n8fj59338x31gj5
pvalue,0.2196592
mouse_life_stage,Early adult
parameter_name,Breath rate during sleep standard deviation
gene_accession_id,MGI:1913396
parameter_id,JAX_SLW_014_001
gene_symbol,Maco1
mouse_strain,C57BL
