analysis_id,0pwngscju5w9142
parameter_id,MGP_CSD_067_001
parameter_name,Snout size
mouse_strain,C57BL
pvalue,0.2609723
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
mouse_life_stage,Early adult
