analysis_id,xzy26607o875454
gene_accession_id,MGI:88174
mouse_strain,C57BL
gene_symbol,Bmi1
mouse_life_stage,E15.5
parameter_name,Distance travelled - total
pvalue,0.3447392
parameter_id,JAX_OFD_020_001
