analysis_id,x2uxu5j1s0ht871
mouse_strain,C57BL
parameter_name,Number of rears - total
parameter_id,JAX_OFD_021_001
mouse_life_stage,Early adult
pvalue,0.5824671
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
