parameter_name,Corneal vascularization
parameter_id,IMPC_EYE_009_001
mouse_life_stage,Early adult
analysis_id,gwqk786gr1911p4
mouse_strain,C57BL
gene_symbol,Dhdds
gene_accession_id,MGI:1914672
pvalue,0.4317766
