gene_symbol,Trp53rkb
analysis_id,5m0957ueqo7vg4i
parameter_name,Lens Opacity
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1110892
parameter_id,UCDLA_EYE_017_001
