analysis_id,59m2p17lj78239b
parameter_name,Lens Opacity
mouse_strain,C57BL
parameter_id,IMPC_EYE_017_001
gene_symbol,Sdcbp2
pvalue,0.8558448
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
