gene_symbol,DNAJC5B
mouse_strain,C57BL
analysis_id,0h2rs8g57670675
mouse_life_stage,Early adult
parameter_name,Midbrain
gene_accession_id,MGI:1913576
pvalue,0.2852019
parameter_id,IMPC_GEL_029_001
