gene_symbol,S100a3
parameter_name,Follicular B cells - % of B2 cells
analysis_id,55113sn3k0055aj
mouse_life_stage,Early adult
gene_accession_id,MGI:1338849
parameter_id,MGP_IMM_048_001
pvalue,0.7370068
mouse_strain,C57BL
