mouse_strain,C57BL
parameter_name,Clavicle
parameter_id,IMPC_XRY_007_001
mouse_life_stage,Late adult
analysis_id,41l3tks18cj8m04
gene_accession_id,MGI:1915062
pvalue,0.8597544
gene_symbol,Ubxn4
