analysis_id,8mnghwcw5878rj6
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_life_stage,Early adult
gene_symbol,Lcn2
parameter_id,MGP_PBI_010_001
pvalue,0.593798
gene_accession_id,MGI:96757
mouse_strain,C57BL
