analysis_id,6mue5k883dvrdt9
gene_accession_id,MGI:1914437
pvalue,0.5475097
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zmynd19
parameter_id,IMPC_XRY_001_001
parameter_name,Skull shape
