gene_symbol,Hspa5
mouse_life_stage,Early adult
pvalue,0.1951028
parameter_id,MGP_IMM_089_001
parameter_name,KLRG1+ gd T cells - % of CD45+
analysis_id,79jljy05p1crdb2
mouse_strain,C57BL
gene_accession_id,MGI:95835
