parameter_name,Upper teeth appearance
analysis_id,j5hszzm30719856
gene_accession_id,MGI:1923029
pvalue,0.4844237
parameter_id,IMPC_CSD_069_001
gene_symbol,Dnaaf9
mouse_life_stage,Early adult
mouse_strain,C57BL
