gene_symbol,Rab13
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Lens Opacity
pvalue,0.2969649
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:1927232
analysis_id,f1lm99g445973k8
