analysis_id,839m531l5nzf61s
gene_accession_id,MGI:1924360
mouse_strain,C57BL
parameter_name,Joints
pvalue,0.5634175
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_027_001
gene_symbol,Gpbp1l1
