analysis_id,s7z6575x7aj6s67
mouse_strain,C57BL
gene_accession_id,MGI:2441730
parameter_id,MGP_MLN_072_001
mouse_life_stage,Late adult
pvalue,0.239324
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_symbol,Tbl1xr1
