analysis_id,67366ep849hc9uw
parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:1913483
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_strain,C57BL
pvalue,0.4011028
mouse_life_stage,Early adult
gene_symbol,Dmap1
