analysis_id,3x9909sq39gy5ug
mouse_life_stage,Early adult
gene_symbol,Ints7
parameter_name,Mean right eye lens density
gene_accession_id,MGI:1924315
pvalue,0.1630989
mouse_strain,C57BL
parameter_id,IMPC_EYE_059_001
